TMA1101,CALCULUS,NONE,3,2
TMA1201,DISCRETE STRUCTURE AND PROBABILITY,NONE,3,2
TMA1401,MATHEMATICS FOR IS I,NONE,3,2
TMA1501,MATHEMATICS FOR IS II,NONE,3,2
TMA1301,COMPUTATIONAL METHODS,NONE,2,2
TCP1101,PROGRAMMING FUNDAMENTALS,NONE,3,2
TCP1201,OBJECT ORIENTED PROGRAMMING AND DATA STRUCTURES ,NONE,3,2
TSN1101,COMPUTER ARCHITECTURE AND ORGANIZATION,NONE,3,2
TIS1101,DATABASE FUNDAMENTALS,NONE,2,2
TIS2101,IT PROJECT MANAGEMENT,NONE,2,2
TSN2201,COMPUTER NETWORKS,NONE,2,2
TCP2201,OBJECT ORIENTED ANALYSIS AND DESIGN,NONE,2,2
TCP2101,ALGORITHM DESIGN & ANALYSIS,NONE,3,2
TIS3351,ADVANCED DATABASE,IS,2,2
TIS3251,INFORMATION SYSTEM PLANNING AND DEVELOPMENT,IS,2,2
TIS2351,HUMAN COMPUTER INTERACTION,IS,2,2
TIC3251,DECISION SUPPORT SYSTEM,IS,2,2
TSE2451,SOFTWARE REQUIREMENTS ENGINEERING,SE,2,2
TSE3151,SOFTWARE DESIGN,SE,2,2
TSE3251,SOFTWARE VERIFICATION AND VALIDATION ,SE,2,2
TGD2151,COMPUTER GRAPHICS FUNDAMENTALS,GD,2,2
TGD3151,GAME DESIGN FUNDAMENTALS,GD,2,2
TGD3351,GAMES ALGORITHM,GD,2,2
TGD3251,3D GAME PROGRAMMING,GD,2,2
TDS2101,INTRODUCTION TO DATA SCIENCE,DS,2,2
TDS3301,DATA MINING,DS,2,2
TDS2201,STATISTICAL DATA ANALYSIS,DS,2,2
TDS3401,DATA VISUALIZATION,DS,2,2
TSN3251,COMPUTER SECURITY ,IS,2,2
TSE2251,SYSTEMS ANALYSIS & DESIGN,IS,2,2
TIS2151,WEB APPLICATION DEVELOPMENT,IS,2,2
TIS3451,IT AUDITING,IS,2,2
TIC2151 ,THEORY OF COMPUTATION,SE,2,2
TCP2451,PROG. LANGUAGE TRANSLATION,SE,2,2
TSE3351,SOFTWARE EVOLUTION AND MAINTENANCE,SE,2,2
TGD3451,GAME PRODUCTION,GD,2,2
TGD2251,GAME PHYSICS,GD,2,2
TDS3751,SOCIAL MEDIA COMPUTING,DS,2,2
TDS3551,DATA MANAGEMENT,DS,2,2
TSN3151,PARALLEL PROCESSING,NONE,2,2
TSN2101,OPERATING SYSTEMS ,NONE,2,2
